# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.7874,3.4511,0.7268,0.7268
-0.7874,3.4383,0.7276,0.7276
-0.7874,3.4254,0.7287,0.7287
-0.7874,3.4126,0.7300,0.7300
-0.7874,3.3997,0.7316,0.7316
-0.7875,3.3870,0.7334,0.7334
-0.7875,3.3742,0.7355,0.7355
-0.7876,3.3616,0.7379,0.7379
-0.7876,3.3490,0.7405,0.7405
-0.7876,3.3365,0.7435,0.7435
-0.7876,3.3242,0.7467,0.7467
-0.7875,3.3119,0.7501,0.7501
-0.7874,3.2998,0.7526,0.7526
-0.7874,3.2877,0.7532,0.7532
-0.7875,3.2757,0.7512,0.7512
-0.7875,3.2637,0.7477,0.7477
-0.7876,3.2517,0.7441,0.7441
-0.7875,3.2396,0.7407,0.7407
-0.7875,3.2275,0.7375,0.7375
-0.7875,3.2153,0.7344,0.7344
-0.7874,3.2030,0.7315,0.7315
-0.7874,3.1905,0.7288,0.7288
-0.7874,3.1780,0.7262,0.7262
-0.7875,3.1654,0.7239,0.7239
-0.7875,3.1527,0.7217,0.7217
-0.7876,3.1399,0.7197,0.7197
-0.7876,3.1271,0.7180,0.7180
-0.7876,3.1143,0.7165,0.7165
-0.7876,3.1015,0.7153,0.7153
-0.7875,3.0886,0.7144,0.7144
-0.7874,3.0758,0.7137,0.7137
-0.7872,3.0630,0.7133,0.7133
